season,date,game_team_abbr,team_name,all_nba,first_team_nba,second_team_nba,third_team_nba,all_nba_ly,first_team_nba_ly,second_team_nba_ly,third_team_nba_ly
2000-01,2000-11-09,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-11-10,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-11-14,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-11-15,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-11-17,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-11-18,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-11-22,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-11-24,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-11-25,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-11-28,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-11-30,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-12-02,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-12-05,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-12-08,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-12-09,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-12-12,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-12-13,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-12-15,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-12-16,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-12-19,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-12-22,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-12-23,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-12-26,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-12-28,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-12-29,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-01-02,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-01-03,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-01-06,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-01-09,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-01-11,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-01-13,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-01-15,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-01-18,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-01-21,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-01-23,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-01-26,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-01-27,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-01-29,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-01-31,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-02-02,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-02-03,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-02-05,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-02-06,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-02-08,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-02-13,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-02-14,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-02-17,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-02-18,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2001-02-20,ATL,Atlanta Hawks,1,0,1,0,0,0,0,0
2000-01,2000-10-31,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-11-02,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-11-04,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-11-06,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-11-08,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-11-10,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-11-12,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-11-13,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-11-15,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-11-17,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-11-18,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-11-20,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-11-21,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-11-25,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-11-28,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-11-30,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-12-02,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-12-03,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-12-05,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-12-06,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-12-08,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-12-10,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-12-12,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-12-13,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-12-15,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-12-17,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-12-18,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-12-20,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-12-22,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-12-26,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-12-28,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-12-30,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-01-03,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-01-05,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-01-06,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-01-08,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-01-10,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-01-11,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-01-13,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-01-15,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-01-17,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-01-18,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-01-20,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-01-23,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-01-25,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-01-27,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-02-01,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-02-03,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-02-05,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-02-07,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-02-13,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-02-15,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-02-17,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-02-20,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-02-22,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-02-24,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-02-26,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-02-27,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-03-03,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-03-05,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-03-07,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-03-09,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-03-11,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-03-13,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-03-15,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-03-17,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-03-20,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-03-21,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-03-24,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-03-26,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-03-28,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-03-30,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-04-01,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-04-03,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-04-05,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-04-07,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-04-10,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-04-11,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-04-13,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-04-15,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-04-16,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2001-04-18,DAL,Dallas Mavericks,1,0,0,1,0,0,0,0
2000-01,2000-10-31,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-11-01,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-11-04,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-11-05,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-11-07,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-11-08,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-11-12,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-11-14,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-11-16,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-11-18,LAL,Los Angeles Lakers,1,0,1,0,0,0,0,0
2000-01,2000-11-19,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-11-22,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-11-24,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-11-27,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-11-28,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-11-30,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-12-01,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-12-03,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-12-05,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-12-06,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-12-08,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-12-10,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-12-12,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-12-13,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-12-15,LAL,Los Angeles Lakers,1,0,1,0,0,0,0,0
2000-01,2000-12-17,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-12-19,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-12-21,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-12-22,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-12-25,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-12-28,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2000-12-30,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-01-03,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
2000-01,2001-01-07,LAL,Los Angeles Lakers,2,1,1,0,0,0,0,0
