name,value,percent
conferenceW,86,0.86
home_team,100,1
playoff,9,0.09
date,54,0.54
dist_3days,33,0.33
same_tz_7days,45,0.45
tz_total_3days,48,0.48
tz_total_7days,73,0.73
tz_total_30days,78,0.78
tz_east_30days,71,0.71
road_7days,23,0.23
pyth_40games,100,1
tpar_40games,55,0.55
steal_40games,48,0.48
first_team_nba_ly,91,0.91
second_team_nba_ly,86,0.86
third_team_nba_ly,87,0.87
conferenceW:date,40,0.4
conferenceW:tz_total_30days,63,0.63
conferenceW:tz_east_30days,67,0.67
dist_traveled,21,0.21
second_backtoback,97,0.97
games_7days,17,0.17
pace_40games,35,0.35
ts_40games,36,0.36
trb_40games,49,0.49
tov_40games,22,0.22
drb_40games,74,0.74
conferenceW:dist_traveled,4,0.04
tz_east_3days,13,0.13
days_rest,61,0.61
conferenceW:same_tz_7days,5,0.05
conferenceW:tz_total_7days,16,0.16
conferenceW:second_backtoback,19,0.19
dist_7days,21,0.21
dist_30days,20,0.2
same_tz_3days,24,0.24
games_3days,18,0.18
road_30days,11,0.11
block_40games,9,0.09
orb_40games,66,0.66
all_nba_ly,19,0.19
conferenceW:tz_total_3days,4,0.04
lon_traveled,40,0.4
games_30days,12,0.12
conferenceW:games_30days,6,0.06
tz_east_7days,43,0.43
conferenceW:tz_east_7days,17,0.17
tz_traveled,33,0.33
conferenceW:dist_7days,5,0.05
conferenceW:same_tz_3days,3,0.03
three_in_four,19,0.19
games_4days,13,0.13
conferenceW:days_rest,5,0.05
conferenceW:lon_traveled,1,0.01
conferenceW:tz_east_3days,1,0.01
same_tz_30days,27,0.27
ftr_40games,6,0.06
road_3days,13,0.13
efg_40games,14,0.14
conferenceW:dist_3days,3,0.03
conferenceW:road_3days,1,0.01
conferenceW:road_7days,3,0.03
conferenceW:three_in_four,5,0.05
conferenceW:games_4days,4,0.04
conferenceW:dist_30days,4,0.04
conferenceW:same_tz_30days,4,0.04
total_wins_ly,10,0.1
conferenceW:games_3days,1,0.01
conferenceW:games_7days,2,0.02
conferenceW:tz_traveled,1,0.01
conferenceW:road_30days,1,0.01
