game_id,season,date,playoff,win,points,home_team,conference,first_interconf_trip,dist_traveled,dist_3days,dist_7days,dist_30days,lon_traveled,tz_traveled,same_tz_3days,same_tz_7days,same_tz_30days,tz_total_3days,tz_total_7days,tz_total_30days,tz_east_3days,tz_east_7days,tz_east_30days,tz_west_3days,tz_west_7days,tz_west_30days,days_rest,second_backtoback,three_in_four,games_2days,games_3days,games_4days,games_7days,games_30days,road_3days,road_7days,road_30days,total_wins_ly,pyth_40games,pace_40games,ftr_40games,tpar_40games,ts_40games,trb_40games,steal_40games,block_40games,efg_40games,tov_40games,orb_40games,drb_40games,all_nba_ly,first_team_nba_ly,second_team_nba_ly,third_team_nba_ly
2000-10-31 IND SAS,2000-01,2000-10-31,0,0,-13,0,E,1,1607.98192763699,1607.98192763699,1607.98192763699,1607.98192763699,-12.323356,-1,-1,-1,-1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,-16.800000000000004,-0.40783916696517597,-4.454488134120069,-0.06685313715838204,0.023164929820453484,-0.022586251200947927,-1.6916608918948128,0.06824130792453342,-0.9111502480815901,-0.023769161256126548,0.7381317957586813,0.17541585959772732,-2.20835290491209,0,0,0,0
2000-10-31 MIL DAL,2000-01,2000-10-31,0,0,-4,0,E,1,1380.45663210855,1380.45663210855,1380.45663210855,1380.45663210855,-8.891336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-17.200000000000003,-0.3301107815306764,1.1631859196281056,-0.00665559249605191,0.01032616858730298,-0.0034048037933280817,2.0242648913398185,0.7174085033691302,-1.4299016025736062,-0.0018315172710108851,-0.2783910542327064,3.744570545670584,1.1095330671231096,0,0,0,0
2000-10-31 SAC CHI,2000-01,2000-10-31,0,0,-19,1,E,-1,-2882.26852018484,-2882.26852018484,-2882.26852018484,-2882.26852018484,-33.843952,-2,1,1,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-34,-0.6396088798424878,-10.027110597844796,0.013573129220271707,-0.0555136657952752,-0.04293009165716155,-2.1207612792016093,-1.3903146968628466,0.10057281562697984,-0.04540060333636403,1.4168598429485577,-0.5037362003461112,-0.22219421072645673,0,0,0,0
2000-11-01 SAC CLE,2000-01,2000-11-01,0,1,2,1,E,0,143.886355595311,-2094.42290931324,-2094.42290931324,-2094.42290931324,-13.606598,-1,2,2,2,-3,-3,-3,-3,-3,-3,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-31,-0.2894833353502715,-21.19999999999999,0.14999999999999997,-0.088,-0.14799999999999996,-3.6000000000000014,-8.100000000000001,0.5,-0.15899999999999997,-0.1999999999999993,5.399999999999999,-4.699999999999989,0,0,0,0
2000-11-02 IND DAL,2000-01,2000-11-02,0,1,6,1,W,0,-404.850951427274,-2012.832879064264,-2012.832879064264,-2012.832879064264,-1.670341,0,1,1,1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,-2,-2,-2,9.600000000000001,0.5232640427858214,9.700000000000003,0.144,0.07099999999999998,-0.010000000000000009,1.8999999999999986,4.1,7,-0.025999999999999968,-1.1999999999999993,15,-18.60000000000001,0,0,0,0
2000-11-02 MIL HOU,2000-01,2000-11-02,0,0,-22,0,E,0,329.05177558236,1709.50840769091,1709.50840769091,1709.50840769091,1.224188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0.5999999999999943,0.10673382109807705,-3.8000000000000114,-0.22800000000000004,0.10700000000000001,-0.04300000000000004,3.200000000000003,-3,2,-0.03899999999999998,-0.3999999999999986,8.500000000000004,-4.5,0,0,0,0
2000-11-03 SAC DET,2000-01,2000-11-03,0,1,7,0,W,0,-815.864451693044,-1008.2763653278361,1543.0352741289478,1543.0352741289478,10.626067,0,-1,-2,-2,1,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,0.4662175182065368,8.550000000000011,0.198,0.007000000000000006,0.08700000000000008,-1.6999999999999886,4.950000000000001,2.4000000000000004,0.046999999999999986,2.8500000000000014,-7.25,0.45000000000000284,0,0,0,0
2000-11-06 ATL VAN,2000-01,2000-11-06,0,1,10,1,W,0,-3608.45083558353,-3074.21892890998,-2539.9870222364298,-2539.9870222364298,38.712498,3,1,1,1,-3,-3,-3,0,0,0,-3,-3,-3,0,0,0,0,0,0,0,0,-1,-1,-1,16.677522123893805,0.4930325000954107,4.166666666666671,0.04133333333333328,-0.009999999999999981,0.03366666666666668,-1.0666666666666629,-0.5333333333333314,2.8666666666666676,0.03433333333333333,-0.9333333333333318,-6.199999999999996,-7.533333333333331,0,0,0,0
2000-11-06 SEA ORL,2000-01,2000-11-06,0,0,-11,0,W,0,3459.052084156439,2813.219013726248,2615.719235312502,2615.719235312502,37.957663000000004,3,-1,-2,-2,3,3,3,3,3,3,0,0,0,0,0,-1,0,0,-1,-1,-1,0,0,0,7,0.1713393176600898,7.2666666666666515,-0.06466666666666665,0.03,0.04266666666666663,0.8499999999999943,1.2833333333333332,-2.8500000000000014,0.0399166666666666,-0.9166666666666643,-0.6666666666666679,-3.6666666666666714,0,0,0,0
2000-11-07 ATL POR,2000-01,2000-11-07,0,0,-9,0,E,0,-352.500876757334,2256.783056367942,1250.9025673413817,1250.9025673413817,1.590694,0,-1,1,1,3,1,1,0,-1,-1,3,2,2,0,0,0,0,0,0,0,0,1,0,0,-17.2,-0.126223834462047,-1.5999999999999943,0.04974999999999999,0.03175,-0.011749999999999983,-3.7749999999999986,1.924999999999999,-4.225,-0.019500000000000017,-0.22499999999999964,-2.075000000000003,1,0,0,0,0
