origin,destination,direct_distance
"Air Canada Centre, Toronto, Canada","Air Canada Centre, Toronto, Canada",0
"Air Canada Centre, Toronto, Canada","Alamodome, San Antonio, Texas",2317.0053811626
"Air Canada Centre, Toronto, Canada","America West Arena, Phoenix, Arizona",3042.17923496738
"Air Canada Centre, Toronto, Canada","American Airlines Center, Dallas, Texas",1937.67904447448
"Air Canada Centre, Toronto, Canada","AmericanAirlines Arena, Miami, Florida",1982.94548725061
"Air Canada Centre, Toronto, Canada","Amway Arena, Orlando, Florida",1685.55832089876
"Air Canada Centre, Toronto, Canada","Amway Center, Orlando, Florida",1685.55832089876
"Air Canada Centre, Toronto, Canada","ARCO Arena (II), Sacramento, California",3542.00052051209
"Air Canada Centre, Toronto, Canada","AT&T Center, San Antonio, Texas",2313.49042199513
"Air Canada Centre, Toronto, Canada","Bankers Life Fieldhouse, Indianapolis, Indiana",709.378381128591
"Air Canada Centre, Toronto, Canada","Barclays Center, Brooklyn, New York",554.392254897583
"Air Canada Centre, Toronto, Canada","BMO Harris Bradley Center, Milwaukee, Wisconsin",695.195942493968
"Air Canada Centre, Toronto, Canada","Bradley Center, Milwaukee, Wisconsin",695.195942493968
"Air Canada Centre, Toronto, Canada","Capital One Arena, Washington, District of Columbia",562.7778368558
"Air Canada Centre, Toronto, Canada","Charlotte Bobcats Arena, Charlotte, North Carolina",943.004235203835
"Air Canada Centre, Toronto, Canada","Charlotte Coliseum, Charlotte, North Carolina",944.726538360158
"Air Canada Centre, Toronto, Canada","Chesapeake Energy Arena, Oklahoma City, Oklahoma",1798.23400601527
"Air Canada Centre, Toronto, Canada","Compaq Center, Houston, Texas",2086.11756903673
"Air Canada Centre, Toronto, Canada","Conseco Fieldhouse, Indianapolis, Indiana",709.378381128591
"Air Canada Centre, Toronto, Canada","Continental Airlines Arena, East Rutherford, New Jersey",539.466038657246
"Air Canada Centre, Toronto, Canada","Delta Center, Salt Lake City, Utah",2687.29657620059
"Air Canada Centre, Toronto, Canada","EnergySolutions Arena, Salt Lake City, Utah",2687.29657620059
"Air Canada Centre, Toronto, Canada","FedEx Forum, Memphis, Tennessee",1315.72083729811
"Air Canada Centre, Toronto, Canada","First Union Center, Philadelphia, Pennsylvania",543.09665107692
"Air Canada Centre, Toronto, Canada","FleetCenter, Boston, Massachusetts",692.48481331577
"Air Canada Centre, Toronto, Canada","Ford Center, Oklahoma City, Oklahoma",1798.23400601527
"Air Canada Centre, Toronto, Canada","General Motors Place, Vancouver, Canada",3368.19329987103
"Air Canada Centre, Toronto, Canada","Golden 1 Center, Sacramento, California",3543.47838958239
"Air Canada Centre, Toronto, Canada","Gund Arena, Cleveland, Ohio",304.647092794287
"Air Canada Centre, Toronto, Canada","Izod Center, East Rutherford, New Jersey",539.451858489811
"Air Canada Centre, Toronto, Canada","KeyArena at Seattle Center, Seattle, Washington",3336.44099244705
"Air Canada Centre, Toronto, Canada","Little Caesars Arena, Detroit, Michigan",332.826765287473
"Air Canada Centre, Toronto, Canada","Madison Square Garden (IV), New York, New York",548.561915287348
"Air Canada Centre, Toronto, Canada","MCI Center, Washington, District of Columbia",562.7778368558
"Air Canada Centre, Toronto, Canada","New Orleans Arena, New Orleans, Louisiana",1791.48919128881
"Air Canada Centre, Toronto, Canada","Oklahoma City Arena, Oklahoma City, Oklahoma",1798.23400601527
"Air Canada Centre, Toronto, Canada","Oracle Arena, Oakland, California",3636.72560296994
"Air Canada Centre, Toronto, Canada","Pepsi Center, Denver, Colorado",2167.68073650928
"Air Canada Centre, Toronto, Canada","Philips Arena, Atlanta, Georgia",1180.46266397192
"Air Canada Centre, Toronto, Canada","Power Balance Pavilion, Sacramento, California",3542.00052051209
"Air Canada Centre, Toronto, Canada","Prudential Center, Newark, New Jersey",537.927359103334
"Air Canada Centre, Toronto, Canada","Pyramid Arena, Memphis, Tennessee",1314.28553881597
"Air Canada Centre, Toronto, Canada","Quicken Loans Arena, Cleveland, Ohio",304.647092794287
"Air Canada Centre, Toronto, Canada","Reunion Arena, Dallas, Texas",1938.81808615923
"Air Canada Centre, Toronto, Canada","Rose Garden Arena, Portland, Oregon",3402.03273626202
"Air Canada Centre, Toronto, Canada","SBC Center, San Antonio, Texas",2313.49042199513
"Air Canada Centre, Toronto, Canada","Sleep Train Arena, Sacramento, California",3542.00052051209
"Air Canada Centre, Toronto, Canada","Smoothie King Center, New Orleans, Louisiana",1791.48919128881
"Air Canada Centre, Toronto, Canada","Spectrum Center, Charlotte, North Carolina",943.004235203835
"Air Canada Centre, Toronto, Canada","STAPLES Center, Los Angeles, California",3504.20959430501
"Air Canada Centre, Toronto, Canada","Talking Stick Resort Arena, Phoenix, Arizona",3042.17923496738
"Air Canada Centre, Toronto, Canada","Target Center, Minneapolis, Minnesota",1117.24933560192
"Air Canada Centre, Toronto, Canada","TD Banknorth Garden, Boston, Massachusetts",692.48481331577
"Air Canada Centre, Toronto, Canada","TD Garden, Boston, Massachusetts",692.48481331577
"Air Canada Centre, Toronto, Canada","TD Waterhouse Centre, Orlando, Florida",1685.55832089876
"Air Canada Centre, Toronto, Canada","The Arena in Oakland, Oakland, California",3636.72560296994
"Air Canada Centre, Toronto, Canada","The O2 Arena, London, United Kingdom",5737.7148284935
"Air Canada Centre, Toronto, Canada","The Palace of Auburn Hills, Auburn Hills, Michigan",330.956880728056
"Air Canada Centre, Toronto, Canada","Time Warner Cable Arena, Charlotte, North Carolina",943.004235203835
"Air Canada Centre, Toronto, Canada","Toyota Center, Houston, Texas",2094.13762204331
"Air Canada Centre, Toronto, Canada","United Center, Chicago, Illinois",706.311696268571
"Air Canada Centre, Toronto, Canada","US Airways Center, Phoenix, Arizona",3042.17923496738
"Air Canada Centre, Toronto, Canada","Verizon Center, Washington, District of Columbia",562.7778368558
"Air Canada Centre, Toronto, Canada","Vivint Smart Home Arena, Salt Lake City, Utah",2687.29657620059
"Air Canada Centre, Toronto, Canada","Wachovia Center, Philadelphia, Pennsylvania",543.09665107692
"Air Canada Centre, Toronto, Canada","Wells Fargo Center, Philadelphia, Pennsylvania",543.09665107692
"Alamodome, San Antonio, Texas","Air Canada Centre, Toronto, Canada",2317.0053811626
"Alamodome, San Antonio, Texas","Alamodome, San Antonio, Texas",0
"Alamodome, San Antonio, Texas","America West Arena, Phoenix, Arizona",1365.96165975773
"Alamodome, San Antonio, Texas","American Airlines Center, Dallas, Texas",406.468155068479
