origin,destination,driving_distance,driving_hours
"Air Canada Centre, Toronto, Canada","Air Canada Centre, Toronto, Canada",0,0
"Air Canada Centre, Toronto, Canada","Alamodome, San Antonio, Texas",2716.301,25.0202777777778
"Air Canada Centre, Toronto, Canada","America West Arena, Phoenix, Arizona",3562.817,33.1302777777778
"Air Canada Centre, Toronto, Canada","American Airlines Center, Dallas, Texas",2280.62,21.1208333333333
"Air Canada Centre, Toronto, Canada","AmericanAirlines Arena, Miami, Florida",2388.039,22.0158333333333
"Air Canada Centre, Toronto, Canada","Amway Arena, Orlando, Florida",2060.103,19.1258333333333
"Air Canada Centre, Toronto, Canada","Amway Center, Orlando, Florida",2060.103,19.1258333333333
"Air Canada Centre, Toronto, Canada","ARCO Arena (II), Sacramento, California",4093.485,37.5477777777778
"Air Canada Centre, Toronto, Canada","AT&T Center, San Antonio, Texas",2710.71,24.985
"Air Canada Centre, Toronto, Canada","Bankers Life Fieldhouse, Indianapolis, Indiana",829.306,8.03944444444445
"Air Canada Centre, Toronto, Canada","Barclays Center, Brooklyn, New York",792.528,7.99277777777778
"Air Canada Centre, Toronto, Canada","BMO Harris Bradley Center, Milwaukee, Wisconsin",996.268,9.35416666666667
"Air Canada Centre, Toronto, Canada","Bradley Center, Milwaukee, Wisconsin",996.268,9.35416666666667
"Air Canada Centre, Toronto, Canada","Capital One Arena, Washington, District of Columbia",775.692,8.56305555555556
"Air Canada Centre, Toronto, Canada","Charlotte Bobcats Arena, Charlotte, North Carolina",1219.519,11.7605555555556
"Air Canada Centre, Toronto, Canada","Charlotte Coliseum, Charlotte, North Carolina",1223.499,11.7713888888889
"Air Canada Centre, Toronto, Canada","Chesapeake Energy Arena, Oklahoma City, Oklahoma",2019.985,18.8486111111111
"Air Canada Centre, Toronto, Canada","Compaq Center, Houston, Texas",2463.559,23.2444444444444
"Air Canada Centre, Toronto, Canada","Conseco Fieldhouse, Indianapolis, Indiana",829.306,8.03944444444445
"Air Canada Centre, Toronto, Canada","Continental Airlines Arena, East Rutherford, New Jersey",782.843,7.55361111111111
"Air Canada Centre, Toronto, Canada","Delta Center, Salt Lake City, Utah",3057.49,28.0755555555556
"Air Canada Centre, Toronto, Canada","EnergySolutions Arena, Salt Lake City, Utah",3057.49,28.0755555555556
"Air Canada Centre, Toronto, Canada","FedEx Forum, Memphis, Tennessee",1565.51,14.6813888888889
