season,date,time,road_team_abbr,road_team,road_team_pts,home_team_abbr,home_team,home_team_pts,overtime_flg,game_attnd,playoff_gm
2000-01,2000-10-31,7:30p,CHA,Charlotte Hornets,106,ATL,Atlanta Hawks,82,,18465,0
2000-01,2000-10-31,8:30p,SAC,Sacramento Kings,100,CHI,Chicago Bulls,81,,21814,0
2000-01,2000-10-31,8:00p,MIL,Milwaukee Bucks,93,DAL,Dallas Mavericks,97,,16600,0
2000-01,2000-10-31,10:30p,PHX,Phoenix Suns,94,GSW,Golden State Warriors,96,,15460,0
2000-01,2000-10-31,8:30p,MIN,Minnesota Timberwolves,106,HOU,Houston Rockets,98,,11327,0
2000-01,2000-10-31,7:30p,CLE,Cleveland Cavaliers,86,NJN,New Jersey Nets,82,,14505,0
2000-01,2000-10-31,8:00p,PHI,Philadelphia 76ers,101,NYK,New York Knicks,72,,19763,0
2000-01,2000-10-31,7:30p,WAS,Washington Wizards,86,ORL,Orlando Magic,97,,13349,0
2000-01,2000-10-31,10:30p,LAL,Los Angeles Lakers,96,POR,Portland Trail Blazers,86,,20270,0
2000-01,2000-10-31,8:30p,IND,Indiana Pacers,85,SAS,San Antonio Spurs,98,,17450,0
2000-01,2000-10-31,8:00p,DET,Detroit Pistons,104,TOR,Toronto Raptors,95,,19800,0
2000-01,2000-10-31,9:00p,LAC,Los Angeles Clippers,94,UTA,Utah Jazz,107,,17824,0
2000-01,2000-10-31,10:30p,SEA,Seattle SuperSonics,88,VAN,Vancouver Grizzlies,94,,15779,0
2000-01,2000-11-01,7:00p,DET,Detroit Pistons,83,BOS,Boston Celtics,103,,17725,0
2000-01,2000-11-01,7:00p,TOR,Toronto Raptors,98,PHI,Philadelphia 76ers,104,,19817,0
2000-01,2000-11-01,7:30p,WAS,Washington Wizards,95,CHA,Charlotte Hornets,77,,16043,0
2000-01,2000-11-01,7:30p,SAC,Sacramento Kings,100,CLE,Cleveland Cavaliers,102,2OT,17695,0
2000-01,2000-11-01,10:30p,UTA,Utah Jazz,97,LAL,Los Angeles Lakers,92,,18997,0
2000-01,2000-11-01,8:00p,ORL,Orlando Magic,79,MIA,Miami Heat,105,,16500,0
2000-01,2000-11-01,10:00p,DEN,Denver Nuggets,99,SEA,Seattle SuperSonics,112,,17072,0
2000-01,2000-11-02,8:30p,MIL,Milwaukee Bucks,93,HOU,Houston Rockets,115,,10687,0
2000-01,2000-11-02,8:00p,MIN,Minnesota Timberwolves,91,SAS,San Antonio Spurs,103,,14193,0
2000-01,2000-11-02,8:00p,IND,Indiana Pacers,88,DAL,Dallas Mavericks,94,,11750,0
2000-01,2000-11-02,10:30p,VAN,Vancouver Grizzlies,99,LAC,Los Angeles Clippers,91,,15546,0
2000-01,2000-11-02,7:30p,ATL,Atlanta Hawks,69,NYK,New York Knicks,94,,19763,0
2000-01,2000-11-02,9:00p,GSW,Golden State Warriors,97,DEN,Denver Nuggets,101,,15790,0
2000-01,2000-11-02,9:00p,POR,Portland Trail Blazers,82,PHX,Phoenix Suns,108,,18436,0
2000-01,2000-11-03,7:30p,TOR,Toronto Raptors,91,BOS,Boston Celtics,93,,17464,0
2000-01,2000-11-03,7:30p,MIA,Miami Heat,79,CHA,Charlotte Hornets,83,,14016,0
2000-01,2000-11-03,8:30p,NJN,New Jersey Nets,92,CHI,Chicago Bulls,82,,21908,0
2000-01,2000-11-03,8:00p,SAC,Sacramento Kings,100,DET,Detroit Pistons,93,,22076,0
2000-01,2000-11-03,7:30p,PHI,Philadelphia 76ers,87,ORL,Orlando Magic,80,,14233,0
2000-01,2000-11-03,7:00p,NYK,New York Knicks,80,WAS,Washington Wizards,76,,20674,0
2000-01,2000-11-04,8:30p,DET,Detroit Pistons,88,MIL,Milwaukee Bucks,97,,18717,0
2000-01,2000-11-04,8:00p,CHA,Charlotte Hornets,98,NJN,New Jersey Nets,87,,11522,0
2000-01,2000-11-04,7:00p,CHI,Chicago Bulls,81,IND,Indiana Pacers,94,,18345,0
2000-01,2000-11-04,7:30p,BOS,Boston Celtics,89,CLE,Cleveland Cavaliers,91,,18392,0
2000-01,2000-11-04,7:00p,WAS,Washington Wizards,96,TOR,Toronto Raptors,103,,18726,0
2000-01,2000-11-04,8:00p,SAC,Sacramento Kings,91,MIN,Minnesota Timberwolves,99,,19006,0
2000-01,2000-11-04,10:30p,SAS,San Antonio Spurs,117,GSW,Golden State Warriors,105,,16121,0
2000-01,2000-11-04,8:00p,UTA,Utah Jazz,112,DAL,Dallas Mavericks,106,,16500,0
2000-01,2000-11-04,10:30p,HOU,Houston Rockets,74,LAC,Los Angeles Clippers,77,,10797,0
2000-01,2000-11-04,7:30p,PHI,Philadelphia 76ers,84,MIA,Miami Heat,82,,16029,0
2000-01,2000-11-04,7:30p,ORL,Orlando Magic,107,ATL,Atlanta Hawks,104,,13833,0
2000-01,2000-11-04,10:00p,POR,Portland Trail Blazers,97,SEA,Seattle SuperSonics,90,,17072,0
2000-01,2000-11-04,3:30p,LAL,Los Angeles Lakers,98,VAN,Vancouver Grizzlies,89,,18183,0
2000-01,2000-11-04,9:00p,PHX,Phoenix Suns,102,DEN,Denver Nuggets,99,,13312,0
2000-01,2000-11-05,9:30p,LAC,Los Angeles Clippers,103,LAL,Los Angeles Lakers,108,,18997,0
2000-01,2000-11-05,8:00p,HOU,Houston Rockets,99,PHX,Phoenix Suns,104,,16735,0
2000-01,2000-11-06,7:30p,SEA,Seattle SuperSonics,99,ORL,Orlando Magic,110,,12460,0
2000-01,2000-11-06,10:30p,POR,Portland Trail Blazers,75,SAC,Sacramento Kings,79,,17317,0
2000-01,2000-11-06,9:00p,MIN,Minnesota Timberwolves,92,UTA,Utah Jazz,98,,19911,0
2000-01,2000-11-06,10:00p,ATL,Atlanta Hawks,87,VAN,Vancouver Grizzlies,97,,11639,0
2000-01,2000-11-06,9:00p,DAL,Dallas Mavericks,108,DEN,Denver Nuggets,96,,11190,0
2000-01,2000-11-07,8:00p,NYK,New York Knicks,103,MIL,Milwaukee Bucks,89,,14246,0
2000-01,2000-11-07,7:00p,BOS,Boston Celtics,75,TOR,Toronto Raptors,105,,17379,0
2000-01,2000-11-07,8:30p,WAS,Washington Wizards,88,CHI,Chicago Bulls,83,,21312,0
2000-01,2000-11-07,8:30p,LAL,Los Angeles Lakers,74,HOU,Houston Rockets,84,,14473,0
2000-01,2000-11-07,10:00p,ATL,Atlanta Hawks,88,POR,Portland Trail Blazers,97,,19980,0
2000-01,2000-11-07,9:00p,SAS,San Antonio Spurs,81,PHX,Phoenix Suns,100,,16683,0
2000-01,2000-11-08,7:00p,DET,Detroit Pistons,94,PHI,Philadelphia 76ers,103,,15986,0
2000-01,2000-11-08,7:00p,MIL,Milwaukee Bucks,97,IND,Indiana Pacers,108,,17684,0
2000-01,2000-11-08,8:00p,LAL,Los Angeles Lakers,81,SAS,San Antonio Spurs,91,,26065,0
2000-01,2000-11-08,8:00p,VAN,Vancouver Grizzlies,101,DAL,Dallas Mavericks,74,,11500,0
2000-01,2000-11-08,10:30p,UTA,Utah Jazz,93,LAC,Los Angeles Clippers,87,OT,10292,0
2000-01,2000-11-08,7:30p,CHA,Charlotte Hornets,96,ORL,Orlando Magic,90,,12617,0
2000-01,2000-11-08,7:30p,SEA,Seattle SuperSonics,81,MIA,Miami Heat,87,,15083,0
2000-01,2000-11-08,10:30p,GSW,Golden State Warriors,84,SAC,Sacramento Kings,115,,17317,0
2000-01,2000-11-08,7:30p,CLE,Cleveland Cavaliers,99,NYK,New York Knicks,97,,19763,0
2000-01,2000-11-08,7:00p,NJN,New Jersey Nets,102,WAS,Washington Wizards,86,,11532,0
2000-01,2000-11-08,9:00p,MIN,Minnesota Timberwolves,107,DEN,Denver Nuggets,109,OT,10549,0
2000-01,2000-11-09,7:30p,DET,Detroit Pistons,108,NJN,New Jersey Nets,94,,10000,0
2000-01,2000-11-09,7:30p,SEA,Seattle SuperSonics,102,CHA,Charlotte Hornets,94,,17054,0
2000-01,2000-11-09,8:30p,ORL,Orlando Magic,90,CHI,Chicago Bulls,95,,21844,0
2000-01,2000-11-09,8:00p,PHI,Philadelphia 76ers,84,MIN,Minnesota Timberwolves,82,,16119,0
2000-01,2000-11-09,8:30p,VAN,Vancouver Grizzlies,78,HOU,Houston Rockets,85,,10906,0
2000-01,2000-11-09,10:00p,DEN,Denver Nuggets,91,POR,Portland Trail Blazers,107,,19996,0
2000-01,2000-11-09,9:00p,ATL,Atlanta Hawks,79,PHX,Phoenix Suns,88,,16792,0
2000-01,2000-11-10,7:30p,NYK,New York Knicks,103,BOS,Boston Celtics,101,OT,18624,0
2000-01,2000-11-10,7:00p,CLE,Cleveland Cavaliers,88,TOR,Toronto Raptors,115,,19800,0
2000-01,2000-11-10,10:30p,SAC,Sacramento Kings,114,GSW,Golden State Warriors,107,OT,17467,0
2000-01,2000-11-10,8:00p,SAS,San Antonio Spurs,77,DAL,Dallas Mavericks,79,,17296,0
2000-01,2000-11-10,10:30p,ATL,Atlanta Hawks,106,LAC,Los Angeles Clippers,115,,10396,0
2000-01,2000-11-10,9:00p,MIA,Miami Heat,87,UTA,Utah Jazz,80,,19093,0
2000-01,2000-11-10,7:00p,IND,Indiana Pacers,86,WAS,Washington Wizards,74,,19955,0
2000-01,2000-11-11,8:30p,MIN,Minnesota Timberwolves,103,MIL,Milwaukee Bucks,92,,18717,0
2000-01,2000-11-11,8:00p,BOS,Boston Celtics,83,PHI,Philadelphia 76ers,85,,19258,0
2000-01,2000-11-11,1:00p,SEA,Seattle SuperSonics,91,NJN,New Jersey Nets,126,,14443,0
2000-01,2000-11-11,7:00p,DET,Detroit Pistons,84,IND,Indiana Pacers,94,,18345,0
2000-01,2000-11-11,7:30p,WAS,Washington Wizards,73,CLE,Cleveland Cavaliers,86,,17336,0
2000-01,2000-11-11,8:30p,TOR,Toronto Raptors,98,CHI,Chicago Bulls,75,,22387,0
2000-01,2000-11-11,8:30p,VAN,Vancouver Grizzlies,78,SAS,San Antonio Spurs,91,,18556,0
2000-01,2000-11-11,7:30p,CHA,Charlotte Hornets,67,NYK,New York Knicks,81,,19763,0
2000-01,2000-11-11,10:00p,HOU,Houston Rockets,88,POR,Portland Trail Blazers,111,,19992,0
2000-01,2000-11-11,9:00p,MIA,Miami Heat,82,PHX,Phoenix Suns,84,,18120,0
2000-01,2000-11-12,6:00p,SEA,Seattle SuperSonics,92,DET,Detroit Pistons,101,,14289,0
2000-01,2000-11-12,9:00p,ORL,Orlando Magic,105,GSW,Golden State Warriors,99,OT,13626,0
2000-01,2000-11-12,9:30p,HOU,Houston Rockets,99,LAL,Los Angeles Lakers,105,,18997,0
2000-01,2000-11-12,9:00p,DAL,Dallas Mavericks,84,SAC,Sacramento Kings,109,,17317,0
2000-01,2000-11-12,9:00p,LAC,Los Angeles Clippers,79,DEN,Denver Nuggets,95,,10842,0
2000-01,2000-11-13,7:30p,POR,Portland Trail Blazers,94,NJN,New Jersey Nets,82,,10704,0
2000-01,2000-11-13,10:30p,DAL,Dallas Mavericks,90,LAC,Los Angeles Clippers,76,,9340,0
2000-01,2000-11-14,7:30p,GSW,Golden State Warriors,86,CLE,Cleveland Cavaliers,96,,13691,0
2000-01,2000-11-14,8:30p,CHI,Chicago Bulls,83,HOU,Houston Rockets,110,,11724,0
2000-01,2000-11-14,8:30p,UTA,Utah Jazz,79,SAS,San Antonio Spurs,86,,18053,0
2000-01,2000-11-14,10:30p,DEN,Denver Nuggets,103,LAL,Los Angeles Lakers,119,,18997,0
2000-01,2000-11-14,7:30p,CHA,Charlotte Hornets,86,MIA,Miami Heat,89,OT,14983,0
2000-01,2000-11-14,7:30p,POR,Portland Trail Blazers,97,ATL,Atlanta Hawks,99,,12610,0
2000-01,2000-11-14,8:00p,ORL,Orlando Magic,82,SAC,Sacramento Kings,96,,17317,0
2000-01,2000-11-14,10:30p,NYK,New York Knicks,75,SEA,Seattle SuperSonics,96,,17072,0
2000-01,2000-11-15,7:00p,WAS,Washington Wizards,109,BOS,Boston Celtics,116,,13915,0
2000-01,2000-11-15,8:00p,ATL,Atlanta Hawks,74,MIL,Milwaukee Bucks,84,,13217,0
2000-01,2000-11-15,7:00p,CLE,Cleveland Cavaliers,98,PHI,Philadelphia 76ers,107,,16328,0
2000-01,2000-11-15,8:00p,MIA,Miami Heat,91,NJN,New Jersey Nets,93,,13504,0
2000-01,2000-11-15,7:30p,IND,Indiana Pacers,92,DET,Detroit Pistons,88,,14350,0
2000-01,2000-11-15,8:00p,GSW,Golden State Warriors,90,MIN,Minnesota Timberwolves,92,,16034,0
2000-01,2000-11-15,10:30p,NYK,New York Knicks,74,LAC,Los Angeles Clippers,78,,12516,0
2000-01,2000-11-15,9:00p,DAL,Dallas Mavericks,78,PHX,Phoenix Suns,99,,16652,0
2000-01,2000-11-16,7:00p,POR,Portland Trail Blazers,86,TOR,Toronto Raptors,80,,19800,0
2000-01,2000-11-16,8:30p,CHA,Charlotte Hornets,80,HOU,Houston Rockets,84,,11028,0
2000-01,2000-11-16,8:00p,LAL,Los Angeles Lakers,112,SAC,Sacramento Kings,110,OT,17317,0
