abbr,long_name,alt_abbr
ATL,Atlanta Hawks,ATL
BOS,Boston Celtics,BOS
BKN,Brooklyn Nets,BRK
CHA,Charlotte Bobcats,CHA
CHA,Charlotte Hornets,CHO
CHI,Chicago Bulls,CHI
CLE,Cleveland Cavaliers,CLE
DAL,Dallas Mavericks,DAL
DEN,Denver Nuggets,DEN
DET,Detroit Pistons,DET
GSW,Golden State Warriors,GSW
HOU,Houston Rockets,HOU
IND,Indiana Pacers,IND
LAC,Los Angeles Clippers,LAC
LAL,Los Angeles Lakers,LAL
MEM,Memphis Grizzlies,MEM
MIA,Miami Heat,MIA
MIL,Milwaukee Bucks,MIL
MIN,Minnesota Timberwolves,MIN
NJN,New Jersey Nets,NJN
NOL,New Orleans Hornets,NOH
NOL,New Orleans Pelicans,NOP
NOL/OKC,New Orleans/Oklahoma City Hornets,NOK
NYK,New York Knicks,NYK
OKC,Oklahoma City Thunder,OKC
ORL,Orlando Magic,ORL
PHI,Philadelphia 76ers,PHI
PHX,Phoenix Suns,PHO
POR,Portland Trail Blazers,POR
SAC,Sacramento Kings,SAC
SAS,San Antonio Spurs,SAS
SEA,Seattle SuperSonics,SEA
TOR,Toronto Raptors,TOR
UTA,Utah Jazz,UTA
VAN,Vancouver Grizzlies,VAN
WAS,Washington Wizards,WAS
